ticker:ccl            close   volume
date                      
2017-02-07  38.83  2459059
2017-02-08  38.96  2152667
2017-02-09  39.31  3378449
2017-02-10  39.45  2835483
2017-02-13  39.58  2844536
2017-02-14  39.52  2930378
2017-02-15  38.93  4894368
2017-02-16  40.56  8173090
2017-02-17  40.17  3930630
2017-02-21  40.52  3000602
2017-02-22  40.70  2839641
2017-02-23  40.94  3177104
2017-02-24  40.95  3146068
2017-02-27  41.27  3203180
2017-02-28  41.83  4647802
2017-03-01  43.01  4715125
2017-03-02  42.26  4063158
2017-03-03  42.80  2572248
2017-03-06  42.57  2283175
2017-03-07  42.66  3476786
2017-03-08  42.15  3888550
2017-03-09  41.98  2007440
2017-03-10  42.15  2301324
2017-03-13  41.99  3139779
2017-03-14  42.03  2593749
2017-03-15  42.22  2210410
2017-03-16  42.20  3181239
2017-03-17  42.06  4226872
2017-03-20  41.95  2330226
2017-03-21  40.91  2917869
2017-03-22  40.98  2597882
2017-03-23  40.90  3417342
2017-03-24  40.88  2686549
2017-03-27  40.90  2538881
2017-03-28  41.15  2309053
2017-03-29  41.59  3069244
2017-03-30  41.90  3119600
2017-03-31  41.85  4608207
2017-04-03  41.65  3464912
2017-04-04  41.19  3234269
2017-04-05  40.90  5029762
2017-04-06  41.05  4348062
2017-04-07  40.80  3102779
2017-04-10  40.41  2287319
2017-04-11  40.54  3109563
2017-04-12  39.65  3138332
2017-04-13  39.49  2768794
2017-04-17  39.79  2157886
2017-04-18  39.73  1512981
2017-04-19  39.75  2283619
2017-04-20  40.31  2488670
2017-04-21  39.49  1859418
2017-04-24  39.94  2286797
2017-04-25  39.97  1842838
2017-04-26  39.63  2257505
2017-04-27  39.76  2315045
2017-04-28  39.85  2176694
2017-05-01  40.16  1819776
2017-05-02  40.13  1715491
2017-05-03  40.04  1157523
2017-05-04  39.77  1868301
2017-05-05  40.16  2211525
2017-05-08  40.13  2053265
2017-05-09  40.13  2218645
2017-05-10  40.43  2759677
2017-05-11  40.06  2026658
2017-05-12  39.74  1299665
2017-05-15  41.50  3487563
2017-05-16  41.62  3830172
2017-05-17  40.34  2403867
2017-05-18  40.15  3854998
2017-05-19  39.53  3045369
2017-05-22  39.98  4241395
2017-05-23  39.49  3257705
2017-05-24  39.56  7056701
2017-05-25  40.96  6446013
2017-05-26  40.24  3637559
2017-05-30  40.47  3005325
2017-05-31  40.49  3418131
